Quarter,Pipeline,Total Daily Transportation (DTH),Monthly Est. Transportation Reservation Revenue ($),Total Storage (DTH),Monthly Estimated Storage Reservation Revenue ($),Average Contract Length (Months),Active Contracts
Q2 2023,Adelphia Gateway LLC,896500,NA,0,NA,80,12
Q2 2023,Algonquin Gas Transmission LLC,5385917,36140052,0,NA,83,159
Q2 2023,Alliance Pipeline L.P.,1728132,13513991,0,NA,61,71
Q2 2023,ANR Pipeline Company,8661220,48286014,187610429,NA,136,658
Q2 2023,ANR Storage Company,0,NA,56154520,NA,87,17
Q2 2023,Arlington Storage Company LLC,476815,NA,16259000,NA,36,34
Q2 2023,BBT (AlaTenn) LLC,291452,NA,0,NA,3885,22
Q2 2023,BBT (Midla) LLC,26275,48457,0,NA,118,6
Q2 2023,Big Sandy Pipeline LLC,137721,2378773,0,NA,198,2
Q2 2023,Black Hills Shoshone Pipeline LLC,12000,NA,0,NA,28,1
Q2 2023,Blue Lake Gas Storage Company,0,NA,48000000,27480000,143,5
Q2 2023,Bluewater Gas Storage LLC,0,NA,33412698,NA,42,40
Q2 2023,Boardwalk Storage Co LLC,0,NA,6501600,NA,35,8
Q2 2023,Bobcat Storage,0,NA,22992200,NA,37,27
Q2 2023,Cadeville Gas Storage LLC,0,NA,20000000,NA,119,1
Q2 2023,Caledonia Energy Partners LLC,0,NA,8050000,NA,47,5
Q2 2023,Cameron Interstate Pipeline LLC,1559730,2042935,0,NA,144,7
Q2 2023,Carlsbad Gateway LLC,180000,NA,0,NA,76,1
Q2 2023,Chandeleur Pipe Line LLC,10000,120604,0,NA,154,1
Q2 2023,Cheniere Creole Trail Pipeline L.P.,1530000,NA,0,NA,257,1
Q2 2023,Cheyenne Connector LLC,600000,NA,0,NA,120,2
Q2 2023,Cheyenne Plains Gas Pipeline Company LLC,38300,302594,0,NA,93,6
Q2 2023,Cimarron River Pipeline LLC,254320,79778,0,NA,61,2
Q2 2023,Colorado Interstate Gas Company L.L.C.,5382287,14665612,41270643,162339543,196,144
Q2 2023,Columbia Gas Transmission LLC,14041758,132575073,252032082,NA,184,573
Q2 2023,Columbia Gulf Transmission LLC,4980886,23076422,0,NA,139,81
Q2 2023,Corpus Christi Pipeline,2805000,7902246,0,NA,142,2
Q2 2023,Crossroads Pipeline Company,51000,192016,0,NA,101,6
Q2 2023,Dauphin Island Gathering Partners,31030,NA,0,NA,6,8
Q2 2023,Destin Pipeline Company L.L.C.,716070,5091252,0,NA,4,70
Q2 2023,Discovery Gas Transmission LLC,398250,NA,0,NA,2,70
Q2 2023,Dominion Energy Carolina Gas Transmission LLC,931274,4426425,0,NA,87,84
Q2 2023,Dominion Energy Cove Point LNG LP,3061999,40145456,7822500,NA,247,29
Q2 2023,Double E Pipeline LLC,810000,NA,0,NA,91,4
Q2 2023,East Cheyenne Gas Storage LLC,0,NA,6000000,NA,31,6
Q2 2023,East Tennessee Natural Gas LLC,1722126,14755149,1090043,NA,106,189
Q2 2023,Eastern Gas Transmission and Storage Inc,8291618,37917782,308067896,3966875,210,388
Q2 2023,Eastern Shore Natural Gas Company,832545,1821272,0,NA,173,84
Q2 2023,Egan Hub Storage LLC,0,NA,20800000,NA,38,15
Q2 2023,El Paso Natural Gas Company L.L.C.,8537004,61402870,0,NA,145,258
Q2 2023,Elba Express Company L.L.C.,2043197,8299008,0,NA,157,23
Q2 2023,Empire Pipeline Inc.,1004916,NA,3753090,173393,89,17
Q2 2023,Enable Gas Transmission LLC,3461269,20559044,15355120,NA,81,743
Q2 2023,Enable Mississippi River Transmission LLC,1480544,3914662,27250818,NA,259,87
Q2 2023,Equitrans L.P.,3505426,11413707,29792669,631467,138,47
Q2 2023,ETC Tiger Pipeline LLC,2590000,18466468,0,NA,27,33
Q2 2023,Florida Gas Transmission Company LLC,5724589,11793085,0,NA,295,194
Q2 2023,Florida Southeast Connection LLC,905000,NA,0,NA,288,3
Q2 2023,Freebird Gas Storage LLC,0,NA,5500000,NA,43,3
Q2 2023,Garden Banks Gas Pipeline LLC,60587,NA,0,NA,NA,13
Q2 2023,Gas Transmission Northwest LLC,3163651,NA,0,NA,221,136
Q2 2023,Golden Pass Pipeline LLC,2600910,3461814,0,NA,300,3
Q2 2023,Golden Triangle Storage Inc,165000,NA,13500000,NA,26,15
Q2 2023,Granite State Gas Transmission Inc.,136200,9727,0,NA,11,3
Q2 2023,Great Lakes Gas Transmission Limited Partnership,2491065,18114372,0,NA,96,98
Q2 2023,Guardian Pipeline L.L.C.,2348599,7043174,0,NA,129,28
Q2 2023,Gulf Run Transmission LLC,2845309,NA,0,NA,28,17
Q2 2023,Gulf Shore Energy Partners LP,80000,NA,0,NA,19,2
Q2 2023,Gulf South Pipeline Company LP,11415049,79754955,71100342,NA,98,279
Q2 2023,Gulfstream Natural Gas System L.L.C.,1388000,NA,0,NA,247,18
Q2 2023,Hardy Storage Company LLC,0,NA,12361000,NA,234,3
Q2 2023,High Point Gas Transmission LLC,0,0,0,NA,59,1
Q2 2023,Honeoye Storage Corporation,0,NA,2951000,NA,147,12
Q2 2023,Horizon Pipeline Company L.L.C.,380000,1258560,0,NA,180,2
Q2 2023,Iroquois Gas Transmission System L.P.,1547570,8893730,0,NA,180,69
Q2 2023,Kern River Gas Transmission Company,3684910,34407346,0,NA,74,128
Q2 2023,Kinder Morgan Illinois Pipeline LLC,200000,180000,0,NA,71,1
Q2 2023,Kinder Morgan Louisiana Pipeline LLC,1580000,4498200,0,NA,163,3
Q2 2023,Kinetica Partners LLC,27647,422568,0,NA,277,5
Q2 2023,KPC Pipeline LLC,102754,606445,0,NA,62,8
Q2 2023,Leaf River Energy Center LLC,0,NA,26559117,NA,59,9
Q2 2023,Maritimes & Northeast Pipeline L.L.C.,1092226,9989386,0,NA,143,14
Q2 2023,MarkWest New Mexico L.L.C.,276000,NA,0,NA,310,1
Q2 2023,MarkWest Pioneer LLC,511000,NA,0,NA,86,8
Q2 2023,Midcontinent Express Pipeline LLC,1305000,24823925,0,NA,23,34
Q2 2023,Midship Pipeline Company LLC,750000,NA,0,NA,119,4
Q2 2023,Midwestern Gas Transmission Company,1363123,3357041,0,NA,174,54
Q2 2023,MIGC LLC,76648,289145,0,NA,88,10
Q2 2023,Millennium Pipeline Company LLC,2245469,35378742,0,NA,129,49
Q2 2023,Mississippi Canyon Gas Pipeline LLC,119145,37557,0,NA,NA,17
Q2 2023,Mississippi Hub LLC,0,NA,14500000,NA,52,11
Q2 2023,MoGas Pipeline LLC,184942,NA,0,NA,70,16
Q2 2023,Mojave Pipeline Company L.L.C.,492936,1245156,0,NA,202,3
Q2 2023,Monroe Gas Storage Company LLC,0,NA,6270000,NA,31,9
