Year,State,Company,"Residential Natural Gas Volume, Bundled (Mcf)","Commercial Natural Gas Volume, Bundled (Mcf)","Industrial Natural Gas Volume, Bundled (Mcf)","Electric Power Natural Gas Volume, Bundled (Mcf)","Vehicle Fuel Natural Gas Volume, Bundled (Mcf)","Other Natural Gas Volume, Bundled (Mcf)","Total End User Natural Gas Volume, Bundled (Mcf)","Residential Natural Gas Volume, Delivery Only (Mcf)","Commercial Natural Gas Volume, Delivery Only (Mcf)","Industrial Natural Gas Volume, Delivery Only (Mcf)","Electric Power Natural Gas Volume, Delivery Only (Mcf)","Vehicle Fuel Natural Gas Volume, Delivery Only (Mcf)","Other Natural Gas Volume, Delivery Only (Mcf)","Total End User Natural Gas Volume, Delivery Only (Mcf)",Residential Natural Gas Volume (Mcf),Commercial Natural Gas Volume (Mcf),Industrial Natural Gas Volume (Mcf),Electric Power Natural Gas Volume (Mcf),Vehicle Fuel Natural Gas Volume (Mcf),Other Natural Gas Volume (Mcf),Total End User Natural Gas Volume (Mcf),"Residential Natural Gas Revenue, Bundled ($000)","Commercial Natural Gas Revenue, Bundled ($000)","Industrial Natural Gas Revenue, Bundled ($000)","Electric Power Natural Gas Revenue, Bundled ($000)","Vehicle Fuel Natural Gas Revenue, Bundled ($000)","Other Natural Gas Revenue, Bundled ($000)","Total End User Natural Gas Revenue, Bundled ($000)","Residential Natural Gas Customers, Bundled (actual)","Commercial Natural Gas Customers, Bundled (actual)","Industrial Natural Gas Customers, Bundled (actual)","Electric Power Natural Gas Customers, Bundled (actual)","Vehicle Fuel Natural Gas Customers, Bundled (actual)","Other Natural Gas Customers, Bundled (actual)","Total End User Natural Gas Customers, Bundled (actual)","Residential Natural Gas Customers, Delivery Only (actual)","Commercial Natural Gas Customers, Delivery Only (actual)","Industrial Natural Gas Customers, Delivery Only (actual)","Electric Power Natural Gas Customer, Delivery Only (actual)","Vehicle Fuel Natural Gas Customers, Delivery Only (actual)","Other Natural Gas Customers, Delivery Only (actual)","Total End User Natural Gas Customer, Delivery Only (actual)",Residential Natural Gas Customers (actual),Commercial Natural Gas Customers (actual),Industrial Natural Gas Customers (actual),Electric Power Natural Gas Customers (actual),Vehicle Fuel Natural Gas Customers (actual),Other Natural Gas Customers (actual),Total End User Natural Gas Customers (actual)
2021,KS,"4 COUNTY ENERGY NPU, LLC",0,0,521345,0,0,0,521345,0,0,0,0,0,0,0,0,0,521345,0,0,0,521345,0,0,2210,0,0,0,2210,0,0,96,0,0,0,96,0,0,0,0,0,0,0,0,0,96,0,0,0,96
2020,KS,"4 COUNTY ENERGY NPU, LLC",0,0,600234,0,0,0,600234,0,0,0,0,0,0,0,0,0,600234,0,0,0,600234,0,0,2023,0,0,0,2023,0,0,96,0,0,0,96,0,0,0,0,0,0,0,0,0,96,0,0,0,96
2019,KS,"4 COUNTY ENERGY NPU, LLC",0,0,428262,0,0,0,428262,0,0,0,0,0,0,0,0,0,428262,0,0,0,428262,0,0,1524,0,0,0,1524,0,0,96,0,0,0,96,0,0,0,0,0,0,0,0,0,96,0,0,0,96
2018,KS,"4 COUNTY ENERGY NPU, LLC",0,0,434854,0,0,0,434854,0,0,0,0,0,0,0,0,0,434854,0,0,0,434854,0,0,1210,0,0,0,1210,0,0,96,0,0,0,96,0,0,0,0,0,0,0,0,0,96,0,0,0,96
2017,KS,"4 COUNTY ENERGY NPU, LLC",0,0,371022,0,0,0,371022,0,0,0,0,0,0,0,0,0,371022,0,0,0,371022,0,0,1167,0,0,0,1167,0,0,96,0,0,0,96,0,0,0,0,0,0,0,0,0,96,0,0,0,96
2021,TX,5M GAS,0,43086,0,0,0,0,43086,0,0,0,0,0,0,0,0,43086,0,0,0,0,43086,0,396,0,0,0,0,396,0,18,0,0,0,0,18,0,0,0,0,0,0,0,0,18,0,0,0,0,18
2020,TX,5M GAS,0,27842,0,0,0,0,27842,0,0,0,0,0,0,0,0,27842,0,0,0,0,27842,0,205,0,0,0,0,205,0,17,0,0,0,0,17,0,0,0,0,0,0,0,0,17,0,0,0,0,17
2019,TX,5M GAS,0,24206,0,0,0,0,24206,0,0,0,0,0,0,0,0,24206,0,0,0,0,24206,0,214,0,0,0,0,214,0,11,0,0,0,0,11,0,0,0,0,0,0,0,0,11,0,0,0,0,11
2018,TX,5M GAS,0,24063,0,0,0,0,24063,0,0,0,0,0,0,0,0,24063,0,0,0,0,24063,0,214,0,0,0,0,214,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,10
2017,TX,5M GAS,0,20561,0,0,0,0,20561,0,0,0,0,0,0,0,0,20561,0,0,0,0,20561,0,171,0,0,0,0,171,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,10
2021,TX,5P Gas Pipeline Company,0,0,313801,0,0,0,313801,0,0,0,0,0,0,0,0,0,313801,0,0,0,313801,0,0,2672,0,0,0,2672,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3
2020,TX,5P Gas Pipeline Company,0,0,248817,0,0,0,248817,0,0,0,0,0,0,0,0,0,248817,0,0,0,248817,0,0,962,0,0,0,962,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3
2019,TX,5P Gas Pipeline Company,0,0,310334,0,0,0,310334,0,0,0,0,0,0,0,0,0,310334,0,0,0,310334,0,0,1529,0,0,0,1529,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,4
2018,TX,5P Gas Pipeline Company,0,0,270462,0,0,0,270462,0,0,0,0,0,0,0,0,0,270462,0,0,0,270462,0,0,1374,0,0,0,1374,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,4
2017,TX,5P Gas Pipeline Company,0,0,191320,0,0,0,191320,0,0,0,0,0,0,0,0,0,191320,0,0,0,191320,0,0,916,0,0,0,916,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,4
2021,KS,"Abbyville, Kansas",2609,404,210,0,0,0,3223,0,0,0,0,0,0,0,2609,404,210,0,0,0,3223,68,14,6,0,0,0,88,47,5,3,0,0,0,55,0,0,0,0,0,0,0,47,5,3,0,0,0,55
2020,KS,"Abbyville, Kansas",3296,418,209,0,0,0,3923,0,0,0,0,0,0,0,3296,418,209,0,0,0,3923,13,2,1,0,0,0,17,46,7,3,0,0,0,56,0,0,0,0,0,0,0,46,7,3,0,0,0,56
2019,KS,"Abbyville, Kansas",3215,476,224,0,0,0,3915,0,0,0,0,0,0,0,3215,476,224,0,0,0,3915,21,3,2,0,0,0,25,50,6,2,0,0,0,58,0,0,0,0,0,0,0,50,6,2,0,0,0,58
2018,KS,"Abbyville, Kansas",3034,602,212,0,0,0,3848,0,0,0,0,0,0,0,3034,602,212,0,0,0,3848,21,4,1,0,0,0,26,49,7,2,0,0,0,58,0,0,0,0,0,0,0,49,7,2,0,0,0,58
2017,KS,"Abbyville, Kansas",2615,488,2,0,0,0,3105,0,0,0,0,0,0,0,2615,488,2,0,0,0,3105,15,3,0,0,0,0,18,46,9,2,0,0,0,57,0,0,0,0,0,0,0,46,9,2,0,0,0,57
2021,LA,Abita Springs Natural Gas and Water Company,32523,6491,32453,0,0,0,71467,0,0,0,0,0,0,0,32523,6491,32453,0,0,0,71467,465,80,103,0,0,0,647,917,48,1,0,0,0,966,0,0,0,0,0,0,0,917,48,1,0,0,0,966
2020,LA,Abita Springs Natural Gas and Water Company,26977,5848,23176,0,0,0,56001,0,0,0,0,0,0,0,26977,5848,23176,0,0,0,56001,384,67,75,0,0,0,526,895,50,1,0,0,0,946,0,0,0,0,0,0,0,895,50,1,0,0,0,946
2019,LA,Abita Springs Natural Gas and Water Company,28277,6383,24726,0,0,0,59386,0,0,0,0,0,0,0,28277,6383,24726,0,0,0,59386,416,112,98,0,0,0,626,856,57,1,0,0,0,914,0,0,0,0,0,0,0,856,57,1,0,0,0,914
2018,LA,Abita Springs Natural Gas and Water Company,30296,33146,0,0,0,0,63442,0,0,0,0,0,0,0,30296,33146,0,0,0,0,63442,401,167,0,0,0,0,569,852,62,0,0,0,0,914,0,0,0,0,0,0,0,852,62,0,0,0,0,914
2017,LA,Abita Springs Natural Gas and Water Company,24140,34669,0,0,0,0,58809,0,0,0,0,0,0,0,24140,34669,0,0,0,0,58809,331,168,0,0,0,0,499,831,56,0,0,0,0,887,0,0,0,0,0,0,0,831,56,0,0,0,0,887
2021,LA,Acadian Gas Pipeline System,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,LA,Acadian Gas Pipeline System,0,0,0,0,0,0,0,0,2258622,310013370,10557971,0,0,322829963,0,2258622,310013370,10557971,0,0,322829963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,79,1,0,0,81,0,1,79,1,0,0,81
2019,LA,Acadian Gas Pipeline System,0,0,0,0,0,0,0,0,2041185,190587697,8239828,0,0,200868710,0,2041185,190587697,8239828,0,0,200868710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,1,0,0,52,0,1,50,1,0,0,52
2018,LA,Acadian Gas Pipeline System,0,0,0,0,0,0,0,0,2032347,137637500,0,0,0,139669847,0,2032347,137637500,0,0,0,139669847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37,0,0,0,38,0,1,37,0,0,0,38
2017,LA,Acadian Gas Pipeline System,0,0,0,0,0,0,0,0,1778161,141313933,0,0,0,143092094,0,1778161,141313933,0,0,0,143092094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,0,0,0,37,0,1,36,0,0,0,37
2021,GA,Adairsville Georgia,51132,58649,682085,0,0,0,791866,0,0,0,0,0,0,0,51132,58649,682085,0,0,0,791866,607,591,3546,0,0,0,4745,1273,170,21,0,0,0,1464,0,0,0,0,0,0,0,1273,170,21,0,0,0,1464
2020,GA,Adairsville Georgia,42043,50317,501977,0,0,0,594337,0,0,0,0,0,0,0,42043,50317,501977,0,0,0,594337,472,466,1744,0,0,0,2682,1177,172,20,0,0,0,1369,0,0,0,0,0,0,0,1177,172,20,0,0,0,1369
2019,GA,Adairsville Georgia,41349,52601,773206,0,0,0,867156,0,0,0,0,0,0,0,41349,52601,773206,0,0,0,867156,469,494,2968,0,0,0,3931,1106,173,19,0,0,0,1298,0,0,0,0,0,0,0,1106,173,19,0,0,0,1298
2018,GA,Adairsville Georgia,47330,67415,645717,0,0,0,760462,0,0,0,0,0,0,0,47330,67415,645717,0,0,0,760462,524,634,2845,0,0,0,4003,1063,170,18,0,0,0,1251,0,0,0,0,0,0,0,1063,170,18,0,0,0,1251
2017,GA,Adairsville Georgia,36255,54315,583110,0,0,0,673680,0,0,0,0,0,0,0,36255,54315,583110,0,0,0,673680,409,502,2596,0,0,0,3507,1038,161,18,0,0,0,1217,0,0,0,0,0,0,0,1038,161,18,0,0,0,1217
