Pipeline,Date,Rate Schedule,Receipt Point,Receipt Zone,Delivery Point,Delivery Zone,Tariff Rate Type,Tariff Rate,Magnitude,Tariff Rate Structure,Rate Zone
"Columbia Gas Transmission, LLC",07/01/2018,FBS,343-9 | 815530,NaN,AC Riley | 742606,NaN,ACA,0.00130,$/Dth,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,FBS,343-9 | 815530,NaN,AC Riley | 742606,NaN,Fuel,0.54000,%         ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,FBS,343-9 | 815530,NaN,AC Riley | 742606,NaN,Injection,1.53000,�/Dth     ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,FBS,343-9 | 815530,NaN,AC Riley | 742606,NaN,Overrun,10.90000,�/Dth     ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,FBS,343-9 | 815530,NaN,AC Riley | 742606,NaN,Reservation,0.04950,$/Dth/day ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,FBS,343-9 | 815530,NaN,AC Riley | 742606,NaN,Storage Quantity,2.89000,�/Dth/day ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,FBS,343-9 | 815530,NaN,AC Riley | 742606,NaN,Withdrawal,1.53000,�/Dth     ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,FSS,343-9 | 815530,NaN,AC Riley | 742606,NaN,ACA,0.00130,$/Dth,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,FSS,343-9 | 815530,NaN,AC Riley | 742606,NaN,Fuel,0.54000,%         ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,FSS,343-9 | 815530,NaN,AC Riley | 742606,NaN,Injection,1.53000,�/Dth     ,Storage,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,FSS,343-9 | 815530,NaN,AC Riley | 742606,NaN,Overrun,10.87000,�/Dth     ,Storage,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,FSS,343-9 | 815530,NaN,AC Riley | 742606,NaN,Reservation,1.50100,$/Dth/mth ,Storage,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,FSS,343-9 | 815530,NaN,AC Riley | 742606,NaN,Storage Quantity,2.88000,�/Dth/mth ,Storage,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,FSS,343-9 | 815530,NaN,AC Riley | 742606,NaN,Withdrawal,1.53000,�/Dth     ,Storage,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,FT-C,343-9 | 815530,NaN,AC Riley | 742606,NaN,ACA,0.00130,$/Dth,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,FT-C,343-9 | 815530,NaN,AC Riley | 742606,NaN,Commodity,1.04000,�/Dth     ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,FT-C,343-9 | 815530,NaN,AC Riley | 742606,NaN,Fuel,1.45400,%         ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,FT-C,343-9 | 815530,NaN,AC Riley | 742606,NaN,Overrun,17.29000,�/Dth     ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,FT-C,343-9 | 815530,NaN,AC Riley | 742606,NaN,Reservation,0.16250,$/Dth/day ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,FTS,343-9 | 815530,NaN,AC Riley | 742606,NaN,ACA,0.00130,$/Dth,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,FTS,343-9 | 815530,NaN,AC Riley | 742606,NaN,Commodity,1.89000,�/Dth     ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,FTS,343-9 | 815530,NaN,AC Riley | 742606,NaN,Fuel,1.45400,%         ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,FTS,343-9 | 815530,NaN,AC Riley | 742606,NaN,Overrun,22.56000,�/Dth     ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,FTS,343-9 | 815530,NaN,AC Riley | 742606,NaN,Reservation,0.20670,$/Dth/day ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,FTS APX,343-9 | 815530,NaN,AC Riley | 742606,NaN,ACA,0.00130,$/Dth,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,FTS APX,343-9 | 815530,NaN,AC Riley | 742606,NaN,Commodity,1.89000,�/Dth     ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,FTS APX,343-9 | 815530,NaN,AC Riley | 742606,NaN,Fuel,1.45400,%         ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,FTS APX,343-9 | 815530,NaN,AC Riley | 742606,NaN,Overrun,21.86000,�/Dth     ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,FTS APX,343-9 | 815530,NaN,AC Riley | 742606,NaN,Reservation,0.19970,$/Dth/day ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,FTS E,343-9 | 815530,NaN,AC Riley | 742606,NaN,ACA,0.00130,$/Dth,System,Entire System
