Pipeline,Date,Rate Schedule,Receipt Point,Receipt Zone,Delivery Point,Delivery Zone,Tariff Rate Type,Tariff Rate,Magnitude,Tariff Rate Structure,Rate Zone
"ETC Tiger Pipeline, LLC",07/01/2018,FTS,Acadian IC | 79022,East Of Hwy 789,ANR | 78542,East Of Hwy 789,ACA,0.00130,$/Dth,System,Entire System
"ETC Tiger Pipeline, LLC",07/01/2018,FTS,Acadian IC | 79022,East Of Hwy 789,ANR | 78542,East Of Hwy 789,Commodity,0.00550,$/Dth     ,System,Entire System
"ETC Tiger Pipeline, LLC",07/01/2018,FTS,Acadian IC | 79022,East Of Hwy 789,ANR | 78542,East Of Hwy 789,Fuel,0.34000,%         ,System,Entire System
"ETC Tiger Pipeline, LLC",07/01/2018,FTS,Acadian IC | 79022,East Of Hwy 789,ANR | 78542,East Of Hwy 789,Fuel,0.46000,%         ,Zone Surcharge,Phase 1 Expansion
"ETC Tiger Pipeline, LLC",07/01/2018,FTS,Acadian IC | 79022,East Of Hwy 789,ANR | 78542,East Of Hwy 789,Overrun,0.35340,$/Dth     ,System,Entire System
"ETC Tiger Pipeline, LLC",07/01/2018,FTS,Acadian IC | 79022,East Of Hwy 789,ANR | 78542,East Of Hwy 789,Reservation,10.58250,$/Dth/mth ,System,Entire System
"ETC Tiger Pipeline, LLC",07/01/2018,FTS,Acadian IC | 79022,East Of Hwy 789,ANR | 78542,West Of Hwy 789,ACA,0.00130,$/Dth,System,Entire System
"ETC Tiger Pipeline, LLC",07/01/2018,FTS,Acadian IC | 79022,East Of Hwy 789,ANR | 78542,West Of Hwy 789,Commodity,0.00550,$/Dth     ,System,Entire System
"ETC Tiger Pipeline, LLC",07/01/2018,FTS,Acadian IC | 79022,East Of Hwy 789,ANR | 78542,West Of Hwy 789,Fuel,0.34000,%         ,System,Entire System
"ETC Tiger Pipeline, LLC",07/01/2018,FTS,Acadian IC | 79022,East Of Hwy 789,ANR | 78542,West Of Hwy 789,Overrun,0.35340,$/Dth     ,System,Entire System
"ETC Tiger Pipeline, LLC",07/01/2018,FTS,Acadian IC | 79022,East Of Hwy 789,ANR | 78542,West Of Hwy 789,Reservation,10.58250,$/Dth/mth ,System,Entire System
"ETC Tiger Pipeline, LLC",07/01/2018,FTS,Acadian IC | 79022,West Of Hwy 789,Carthage Hub | 78527,East Of Hwy 789,ACA,0.00130,$/Dth,System,Entire System
"ETC Tiger Pipeline, LLC",07/01/2018,FTS,Acadian IC | 79022,West Of Hwy 789,Carthage Hub | 78527,East Of Hwy 789,Commodity,0.00550,$/Dth     ,System,Entire System
"ETC Tiger Pipeline, LLC",07/01/2018,FTS,Acadian IC | 79022,West Of Hwy 789,Carthage Hub | 78527,East Of Hwy 789,Fuel,0.34000,%         ,System,Entire System
"ETC Tiger Pipeline, LLC",07/01/2018,FTS,Acadian IC | 79022,West Of Hwy 789,Carthage Hub | 78527,East Of Hwy 789,Fuel,0.46000,%         ,Zone Surcharge,Phase 1 Expansion
"ETC Tiger Pipeline, LLC",07/01/2018,FTS,Acadian IC | 79022,West Of Hwy 789,Carthage Hub | 78527,East Of Hwy 789,Overrun,0.35340,$/Dth     ,System,Entire System
"ETC Tiger Pipeline, LLC",07/01/2018,FTS,Acadian IC | 79022,West Of Hwy 789,Carthage Hub | 78527,East Of Hwy 789,Reservation,10.58250,$/Dth/mth ,System,Entire System
"ETC Tiger Pipeline, LLC",07/01/2018,FTS,Acadian IC | 79022,West Of Hwy 789,ANR | 78542,West Of Hwy 789,ACA,0.00130,$/Dth,System,Entire System
"ETC Tiger Pipeline, LLC",07/01/2018,FTS,Acadian IC | 79022,West Of Hwy 789,ANR | 78542,West Of Hwy 789,Commodity,0.00550,$/Dth     ,System,Entire System
"ETC Tiger Pipeline, LLC",07/01/2018,FTS,Acadian IC | 79022,West Of Hwy 789,ANR | 78542,West Of Hwy 789,Fuel,0.34000,%         ,System,Entire System
"ETC Tiger Pipeline, LLC",07/01/2018,FTS,Acadian IC | 79022,West Of Hwy 789,ANR | 78542,West Of Hwy 789,Overrun,0.35340,$/Dth     ,System,Entire System
"ETC Tiger Pipeline, LLC",07/01/2018,FTS,Acadian IC | 79022,West Of Hwy 789,ANR | 78542,West Of Hwy 789,Reservation,10.58250,$/Dth/mth ,System,Entire System
"ETC Tiger Pipeline, LLC",07/01/2018,ITS,Carthage Hub | 78527,East Of Hwy 789,Carthage Hub | 78527,East Of Hwy 789,ACA,0.00130,$/Dth,System,Entire System
"ETC Tiger Pipeline, LLC",07/01/2018,ITS,Carthage Hub | 78527,East Of Hwy 789,Carthage Hub | 78527,East Of Hwy 789,Commodity,0.35340,$/Dth     ,System,Entire System
"ETC Tiger Pipeline, LLC",07/01/2018,ITS,Carthage Hub | 78527,East Of Hwy 789,Carthage Hub | 78527,East Of Hwy 789,Fuel,0.34000,%         ,System,Entire System
"ETC Tiger Pipeline, LLC",07/01/2018,ITS,Carthage Hub | 78527,East Of Hwy 789,Carthage Hub | 78527,East Of Hwy 789,Fuel,0.46000,%         ,Zone Surcharge,Phase 1 Expansion
"ETC Tiger Pipeline, LLC",07/01/2018,ITS,Carthage Hub | 78527,East Of Hwy 789,Carthage Hub | 78527,East Of Hwy 789,Overrun,0.35340,$/Dth     ,System,Entire System
"ETC Tiger Pipeline, LLC",07/01/2018,ITS,Carthage Hub | 78527,East Of Hwy 789,ANR | 78542,West Of Hwy 789,ACA,0.00130,$/Dth,System,Entire System
"ETC Tiger Pipeline, LLC",07/01/2018,ITS,Carthage Hub | 78527,East Of Hwy 789,ANR | 78542,West Of Hwy 789,Commodity,0.35340,$/Dth     ,System,Entire System
"ETC Tiger Pipeline, LLC",07/01/2018,ITS,Carthage Hub | 78527,East Of Hwy 789,ANR | 78542,West Of Hwy 789,Fuel,0.34000,%         ,System,Entire System
"ETC Tiger Pipeline, LLC",07/01/2018,ITS,Carthage Hub | 78527,East Of Hwy 789,ANR | 78542,West Of Hwy 789,Overrun,0.35340,$/Dth     ,System,Entire System
"ETC Tiger Pipeline, LLC",07/01/2018,ITS,Acadian IC | 79022,West Of Hwy 789,Carthage Hub | 78527,East Of Hwy 789,ACA,0.00130,$/Dth,System,Entire System
"ETC Tiger Pipeline, LLC",07/01/2018,ITS,Acadian IC | 79022,West Of Hwy 789,Carthage Hub | 78527,East Of Hwy 789,Commodity,0.35340,$/Dth     ,System,Entire System
"ETC Tiger Pipeline, LLC",07/01/2018,ITS,Acadian IC | 79022,West Of Hwy 789,Carthage Hub | 78527,East Of Hwy 789,Fuel,0.34000,%         ,System,Entire System
"ETC Tiger Pipeline, LLC",07/01/2018,ITS,Acadian IC | 79022,West Of Hwy 789,Carthage Hub | 78527,East Of Hwy 789,Fuel,0.46000,%         ,Zone Surcharge,Phase 1 Expansion
"ETC Tiger Pipeline, LLC",07/01/2018,ITS,Acadian IC | 79022,West Of Hwy 789,Carthage Hub | 78527,East Of Hwy 789,Overrun,0.35340,$/Dth     ,System,Entire System
"ETC Tiger Pipeline, LLC",07/01/2018,ITS,Acadian IC | 79022,West Of Hwy 789,ANR | 78542,West Of Hwy 789,ACA,0.00130,$/Dth,System,Entire System
"ETC Tiger Pipeline, LLC",07/01/2018,ITS,Acadian IC | 79022,West Of Hwy 789,ANR | 78542,West Of Hwy 789,Commodity,0.35340,$/Dth     ,System,Entire System
"ETC Tiger Pipeline, LLC",07/01/2018,ITS,Acadian IC | 79022,West Of Hwy 789,ANR | 78542,West Of Hwy 789,Fuel,0.34000,%         ,System,Entire System
"ETC Tiger Pipeline, LLC",07/01/2018,ITS,Acadian IC | 79022,West Of Hwy 789,ANR | 78542,West Of Hwy 789,Overrun,0.35340,$/Dth     ,System,Entire System
"ETC Tiger Pipeline, LLC",07/01/2018,PALS,Carthage Hub | 78527,East Of Hwy 789,Carthage Hub | 78527,East Of Hwy 789,Overrun,0.35340,$/Dth     ,System,Entire System
"ETC Tiger Pipeline, LLC",07/01/2018,PALS,Carthage Hub | 78527,East Of Hwy 789,Carthage Hub | 78527,East Of Hwy 789,Park and Loan,0.35340,$/Dth/day ,System,Entire System
"ETC Tiger Pipeline, LLC",07/01/2018,PALS,Carthage Hub | 78527,East Of Hwy 789,ANR | 78542,West Of Hwy 789,Overrun,0.35340,$/Dth     ,System,Entire System
"ETC Tiger Pipeline, LLC",07/01/2018,PALS,Carthage Hub | 78527,East Of Hwy 789,ANR | 78542,West Of Hwy 789,Park and Loan,0.35340,$/Dth/day ,System,Entire System
"ETC Tiger Pipeline, LLC",07/01/2018,PALS,Acadian IC | 79022,West Of Hwy 789,Carthage Hub | 78527,East Of Hwy 789,Overrun,0.35340,$/Dth     ,System,Entire System
"ETC Tiger Pipeline, LLC",07/01/2018,PALS,Acadian IC | 79022,West Of Hwy 789,Carthage Hub | 78527,East Of Hwy 789,Park and Loan,0.35340,$/Dth/day ,System,Entire System
"ETC Tiger Pipeline, LLC",07/01/2018,PALS,Acadian IC | 79022,West Of Hwy 789,ANR | 78542,West Of Hwy 789,Overrun,0.35340,$/Dth     ,System,Entire System
"ETC Tiger Pipeline, LLC",07/01/2018,PALS,Acadian IC | 79022,West Of Hwy 789,ANR | 78542,West Of Hwy 789,Park and Loan,0.35340,$/Dth/day ,System,Entire System
Fayetteville Express Pipeline LLC,07/01/2018,FTS,BHP/Center Ridge | 78557,Fayetteville Supply Basin,ANR Quitman | 78524,Market,ACA,0.00130,$/Dth,System,Entire System
Fayetteville Express Pipeline LLC,07/01/2018,FTS,BHP/Center Ridge | 78557,Fayetteville Supply Basin,ANR Quitman | 78524,Market,Commodity,0.00110,$/Dth     ,System,Entire System
Fayetteville Express Pipeline LLC,07/01/2018,FTS,BHP/Center Ridge | 78557,Fayetteville Supply Basin,ANR Quitman | 78524,Market,Fuel,0.27000,%         ,System,Entire System
Fayetteville Express Pipeline LLC,07/01/2018,FTS,BHP/Center Ridge | 78557,Fayetteville Supply Basin,ANR Quitman | 78524,Market,Overrun,0.34410,$/Dth     ,System,Entire System
Fayetteville Express Pipeline LLC,07/01/2018,FTS,BHP/Center Ridge | 78557,Fayetteville Supply Basin,ANR Quitman | 78524,Market,Reservation,10.43000,$/Dth/mth ,System,Entire System
Fayetteville Express Pipeline LLC,07/01/2018,HAT,BHP/Center Ridge | 78557,Fayetteville Supply Basin,ANR Quitman | 78524,Market,ACA,0.00130,$/Dth,System,Entire System
Fayetteville Express Pipeline LLC,07/01/2018,HAT,BHP/Center Ridge | 78557,Fayetteville Supply Basin,ANR Quitman | 78524,Market,Commodity,0.17210,$/Dth     ,System,Entire System
Fayetteville Express Pipeline LLC,07/01/2018,HAT,BHP/Center Ridge | 78557,Fayetteville Supply Basin,ANR Quitman | 78524,Market,Fuel,0.00000,%         ,System,Entire System
Fayetteville Express Pipeline LLC,07/01/2018,HAT,BHP/Center Ridge | 78557,Fayetteville Supply Basin,ANR Quitman | 78524,Market,Overrun,0.17210,$/Dth     ,System,Entire System
Fayetteville Express Pipeline LLC,07/01/2018,HAT-R/D,BHP/Center Ridge | 78557,Fayetteville Supply Basin,ANR Quitman | 78524,Market,ACA,0.00130,$/Dth,System,Entire System
Fayetteville Express Pipeline LLC,07/01/2018,HAT-R/D,BHP/Center Ridge | 78557,Fayetteville Supply Basin,ANR Quitman | 78524,Market,Commodity,0.34410,$/Dth     ,System,Entire System
Fayetteville Express Pipeline LLC,07/01/2018,HAT-R/D,BHP/Center Ridge | 78557,Fayetteville Supply Basin,ANR Quitman | 78524,Market,Fuel,0.00000,%         ,System,Entire System
Fayetteville Express Pipeline LLC,07/01/2018,HAT-R/D,BHP/Center Ridge | 78557,Fayetteville Supply Basin,ANR Quitman | 78524,Market,Overrun,0.34410,$/Dth     ,System,Entire System
Fayetteville Express Pipeline LLC,07/01/2018,ITS,BHP/Center Ridge | 78557,Fayetteville Supply Basin,ANR Quitman | 78524,Market,ACA,0.00130,$/Dth,System,Entire System
Fayetteville Express Pipeline LLC,07/01/2018,ITS,BHP/Center Ridge | 78557,Fayetteville Supply Basin,ANR Quitman | 78524,Market,Commodity,0.34410,$/Dth     ,System,Entire System
Fayetteville Express Pipeline LLC,07/01/2018,ITS,BHP/Center Ridge | 78557,Fayetteville Supply Basin,ANR Quitman | 78524,Market,Fuel,0.27000,%         ,System,Entire System
Fayetteville Express Pipeline LLC,07/01/2018,ITS,BHP/Center Ridge | 78557,Fayetteville Supply Basin,ANR Quitman | 78524,Market,Overrun,0.34410,$/Dth     ,System,Entire System
Fayetteville Express Pipeline LLC,07/01/2018,PAL,BHP/Center Ridge | 78557,Fayetteville Supply Basin,ANR Quitman | 78524,Market,Commodity,0.34410,$/Dth     ,System,Entire System
