Pipeline,Loc Desc,Zone,Point
"Algonquin Gas Transmission, LLC",Receipt,Entire System,"AGT-Wanaque Interconnect (Passaic,NJ) | 208"
"Algonquin Gas Transmission, LLC",Receipt,Entire System,"Algonquin - Lambertville, NJ | 210"
"Algonquin Gas Transmission, LLC",Receipt,Entire System,"Brookfield (Fairfield,CT) | 251"
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Brookfield In-Line Transfer Point | 782217
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Centerpoint-Perryville | 44085
"Algonquin Gas Transmission, LLC",Receipt,Entire System,"Centerville-Transco (Morris,NJ) | 220"
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Cocodrie 523 Bluewater | 999012883
"Algonquin Gas Transmission, LLC",Receipt,Entire System,"Columbia Hanover (Morris,NJ) | 240"
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Consolidated Edison | 218531
"Algonquin Gas Transmission, LLC",Receipt,Entire System,East Braintree Custody Transfer Point | 99857
"Algonquin Gas Transmission, LLC",Receipt,Entire System,East To West Montville | 259
"Algonquin Gas Transmission, LLC",Receipt,Entire System,"Everett Int. (Middlesex,MA) | 271"
"Algonquin Gas Transmission, LLC",Receipt,Entire System,"Excelerate Energy LP - Excelerate MS - (Essex,MA) | 620"
"Algonquin Gas Transmission, LLC",Receipt,Entire System,"Excelerate Energy LP - Excellence MS -(Essex, MA) | 621"
"Algonquin Gas Transmission, LLC",Receipt,Entire System,"Excelerate Energy LP - Exemplar (Essex,MA) | 626"
"Algonquin Gas Transmission, LLC",Receipt,Entire System,"Excelerate Energy LP - Expedient (Essex,MA) | 625"
"Algonquin Gas Transmission, LLC",Receipt,Entire System,"Excelerate Energy LP - Express (Essex,MA) | 623"
"Algonquin Gas Transmission, LLC",Receipt,Entire System,"Excelerate Energy LP - Exquisite (Essex,MA) | 624"
"Algonquin Gas Transmission, LLC",Receipt,Entire System,"Excelerate Energy LP - NE Gateway-Explorer (Essex,MA) | 622"
"Algonquin Gas Transmission, LLC",Receipt,Entire System,G-12 System | 80070
"Algonquin Gas Transmission, LLC",Receipt,Entire System,G-22 System | 80074
"Algonquin Gas Transmission, LLC",Receipt,Entire System,G-24 Lateral Head Of Lateral | 1091481
"Algonquin Gas Transmission, LLC",Receipt,Entire System,G-24 Lateral Head of Lateral | 80060
"Algonquin Gas Transmission, LLC",Receipt,Entire System,I-3 System Mainline | 1091464
"Algonquin Gas Transmission, LLC",Receipt,Entire System,I-3 System Mainline | 80041
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Interconnect AGT G-10 Lat & Cleary Lateral | 80003
"Algonquin Gas Transmission, LLC",Receipt,Entire System,"Interconnect AGT G-SYS Bourne, MA & Canal Lateral | 80004"
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Interconnect AGT Mainline & Lake Road | 384763
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Interconnect AGT Q and 1-3 Systems | 384766
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Interconnect Between Middleton Lat & AGT Mainline | 80001
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Interconnect Between Suez Neptune And Hubline | 89848
